protocolType	typeId	subsystemId	controllable	widget	type	uiClass	localPairing
1	1376258	0	io:ExteriorHeatingIOComponent	DimmerExteriorHeating	1	ExteriorHeatingSystem	1
1	1391106	0	io:DiscreteExteriorHeatingIOComponent	DiscreteExteriorHeating	1	ExteriorHeatingSystem	1
1	1441792	0	io:HeatPumpIOComponent	HeatPump	1	HeatPumpSystem	1
1	1442060	1	io:AtlanticPassAPCHeatPumpMainComponent	AtlanticPassAPCHeatPump	1	HeatingSystem	0
1	1442060	2	io:AtlanticPassAPCDHWComponent	AtlanticPassAPCDHW	1	WaterHeatingSystem	0
1	1442060	3	io:AtlanticPassAPCOutsideTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1442060	4	io:TotalElectricalEnergyConsumptionSensor	CumulativeElectricPowerConsumptionSensor	2	ElectricitySensor	0
1	1442060	5	io:DHWRelatedElectricalEnergyConsumptionSensor	CumulativeElectricPowerConsumptionSensor	2	ElectricitySensor	0
1	1442060	6	io:HeatingRelatedElectricalEnergyConsumptionSensor	CumulativeElectricPowerConsumptionSensor	2	ElectricitySensor	0
1	1442060	7	io:CoolingRelatedElectricalEnergyConsumptionSensor	CumulativeElectricPowerConsumptionSensor	2	ElectricitySensor	0
1	1442060	8	io:AtlanticPassAPCHeatingAndCoolingZoneComponent	AtlanticPassAPCHeatingAndCoolingZone	1	HeatingSystem	0
1	1442060	9	io:AtlanticPassAPCZoneTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1442060	10	io:AtlanticPassAPCHeatingAndCoolingZoneComponent	AtlanticPassAPCHeatingAndCoolingZone	1	HeatingSystem	0
1	1442060	11	io:AtlanticPassAPCZoneTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1442316	1	io:AtlanticPassAPCBoilerMainComponent	AtlanticPassAPCBoiler	1	HeatingSystem	0
1	1442316	2	io:AtlanticPassAPCDHWComponent	AtlanticPassAPCDHW	1	WaterHeatingSystem	0
1	1442316	3	io:AtlanticPassAPCOutsideTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1442316	4	io:TotalFossilEnergyConsumptionSensor	CumulativeFossilEnergyConsumptionSensor	2	ConsumptionSensor	0
1	1442316	5	io:DHWRelatedFossilEnergyConsumptionSensor	CumulativeFossilEnergyConsumptionSensor	2	ConsumptionSensor	0
1	1442316	6	io:HeatingRelatedFossilEnergyConsumptionSensor	CumulativeFossilEnergyConsumptionSensor	2	ConsumptionSensor	0
1	1442316	7	io:AtlanticPassAPCHeatingZoneComponent	AtlanticPassAPCHeatingZone	1	HeatingSystem	0
1	1442316	8	io:AtlanticPassAPCZoneTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1442316	9	io:AtlanticPassAPCHeatingZoneComponent	AtlanticPassAPCHeatingZone	1	HeatingSystem	0
1	1442316	10	io:AtlanticPassAPCZoneTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1507328	0	io:AlarmIOComponent	StatefulAlarmController	1	Alarm	1
1	1572864	0	io:UnknownIOComponent	IOGeneric	1	Generic	1
1	1572866	0	io:SwingingShutterSomfyIOComponent	SwingingShutter	1	SwingingShutter	1
1	1587714	0	io:DiscreteSwingingShutterSomfyIOComponent	SwingingShutter	1	SwingingShutter	1
1	1573120	0	io:UnknownIOComponent	IOGeneric	1	Generic	1
1	1769472	0	io:PositionableSlidingWindowComponent	PositionableSlidingWindow	1	Window	1
1	1769730	0	io:PositionableAndLockableSlidingWindowComponent	PositionableAndLockableSlidingWindow	1	Window	1
1	1835020	1	io:AtlanticPassAPCZoneControlMainComponent	AtlanticPassAPCZoneControl	1	HeatingSystem	0
1	1835020	2	io:AtlanticPassAPCZoneControlZoneComponent	AtlanticPassAPCHeatingAndCoolingZone	1	HeatingSystem	0
1	1835020	3	io:AtlanticPassAPCZoneTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1835020	4	io:AtlanticPassAPCZoneControlZoneComponent	AtlanticPassAPCHeatingAndCoolingZone	1	HeatingSystem	0
1	1835020	5	io:AtlanticPassAPCZoneTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1835020	6	io:AtlanticPassAPCZoneControlZoneComponent	AtlanticPassAPCHeatingAndCoolingZone	1	HeatingSystem	0
1	1835020	7	io:AtlanticPassAPCZoneTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1835020	8	io:AtlanticPassAPCZoneControlZoneComponent	AtlanticPassAPCHeatingAndCoolingZone	1	HeatingSystem	0
1	1835020	9	io:AtlanticPassAPCZoneTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1835020	10	io:AtlanticPassAPCZoneControlZoneComponent	AtlanticPassAPCHeatingAndCoolingZone	1	HeatingSystem	0
1	1835020	11	io:AtlanticPassAPCZoneTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1835020	12	io:AtlanticPassAPCZoneControlZoneComponent	AtlanticPassAPCHeatingAndCoolingZone	1	HeatingSystem	0
1	1835020	13	io:AtlanticPassAPCZoneTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1835020	14	io:AtlanticPassAPCZoneControlZoneComponent	AtlanticPassAPCHeatingAndCoolingZone	1	HeatingSystem	0
1	1835020	15	io:AtlanticPassAPCZoneTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1835020	16	io:AtlanticPassAPCZoneControlZoneComponent	AtlanticPassAPCHeatingAndCoolingZone	1	HeatingSystem	0
1	1835020	17	io:AtlanticPassAPCZoneTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1900544	0	io:BioclimaticPergolaIOComponent	BioclimaticPergola	1	Pergola	1
1	1900546	0	io:BioclimaticPergolaIOComponent	BioclimaticPergola	1	Pergola	1
